Crofton2   Crofton4   Matlab   MatlabPi
2.14243 0.0814511 -1.38565 0.235656
2.14243 -0.491768 -1.58176 0.0395462
-0.289528 0.585127 -1.31805 0.303262
-2.72149 -0.344245 -1.64679 -0.0254797
1.33178 -0.0372665 -1.53944 0.0818646
-2.72149 -0.344245 -1.55286 0.0684466
-1.91084 0.0610824 -1.30102 0.320293
-0.289528 0.298518 -1.4161 0.205207
2.14243 0.0814511 -1.38565 0.235656
2.95309 0.486778 -1.03988 0.581429
2.14243 -0.491768 -1.58176 0.0395462
-1.91084 -0.225527 -1.63389 -0.0125777
-0.289528 0.011908 -1.46719 0.154116
1.33178 0.249343 -1.53532 0.0859933
-1.10018 -0.10681 -1.52706 0.0942505
-0.289528 0.011908 -1.46719 0.154116
-0.289528 0.298518 -1.46306 0.158244
2.14243 -0.205158 -1.57763 0.0436748
2.95309 0.200169 -1.41971 0.201595
-1.10018 -0.10681 -1.71491 -0.0936021
1.33178 -0.323876 -1.82535 -0.204043
2.14243 -0.205158 -1.67156 -0.0502515
-1.91084 0.347692 -1.39081 0.230495
-1.10018 -0.10681 -1.43313 0.188177
-2.72149 -0.0576352 -1.45481 0.166502
-2.72149 -0.0576352 -1.54873 0.0725752
2.14243 0.368061 -1.2876 0.333711
-1.10018 0.1798 -1.52293 0.0983791
2.14243 0.0814511 -1.47958 0.14173
-0.289528 0.585127 -1.17716 0.444152
-1.91084 0.347692 -1.29689 0.324422
1.33178 -0.323876 -1.54357 0.077736
-1.91084 0.0610824 -1.58279 0.038514
2.14243 -0.205158 -1.48371 0.137601
-3.53215 -0.749572 -1.89863 -0.277326
2.95309 0.773388 -1.12968 0.491631
-0.289528 0.298518 -1.36914 0.252171
2.95309 0.486778 -1.2747 0.346613
-1.91084 0.0610824 -1.44191 0.179403
1.33178 -0.610486 -1.73555 -0.114245
1.33178 -0.610486 -1.82948 -0.208171
-1.10018 0.1798 -1.429 0.192305
0.521126 -0.155984 -1.69324 -0.0719268
2.95309 0.773388 -1.03575 0.585557
-1.91084 0.0610824 -1.39494 0.226367
2.95309 0.200169 -1.32579 0.295521
-1.10018 -0.10681 -1.71491 -0.0936021
-2.72149 -0.0576352 -1.36088 0.260428
-0.289528 -0.561311 -1.94508 -0.323773
1.33178 0.822562 -0.9635 0.657808
1.33178 -0.323876 -1.44965 0.171662
-1.91084 -0.225527 -1.493 0.128312
2.95309 0.200169 -1.32579 0.295521
2.95309 0.200169 -1.46668 0.154632
-0.289528 0.011908 -1.46719 0.154116
-1.91084 0.0610824 -1.20709 0.414219
0.521126 -0.155984 -1.78716 -0.165853
2.95309 0.200169 -1.32579 0.295521
