 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
240,2989,240.108,73.878,31,16,140.492,67.582
241,2990,242.108,73.756,32,15,139.399,67.534
242,2979,239.037,73.926,43,12,120.033,66.719
243,2989,240.693,73.817,17,72,54.372,67.663
244,2982,238.936,73.824,20,76,61.699,67.051
245,2986,241.279,73.817,13,39,144.372,67.578
246,2989,239.279,73.783,41,12,122.829,67.335
247,2979,239.865,73.600,18,28,126.714,67.452
248,2988,239.037,73.573,18,26,121.097,66.695
249,2986,241.522,73.878,13,37,140.492,67.644
250,2989,239.279,73.600,28,82,36.714,67.737
251,2987,240.108,73.817,28,83,35.628,67.403
252,2983,240.350,73.824,22,78,65.171,67.524
253,2988,239.279,73.756,17,70,49.399,67.555
254,2988,241.522,73.824,12,44,151.699,67.529
255,2976,239.279,73.600,27,19,143.286,67.663
256,2981,239.279,73.817,18,72,54.372,67.371
257,2978,239.865,73.756,37,13,130.601,67.519
258,2985,240.451,73.756,14,35,139.399,67.673
259,2979,240.108,73.546,12,54,168.232,67.660
260,2986,238.693,73.817,28,83,35.628,67.162
261,2982,240.108,73.661,14,66,41.698,67.175
262,2977,240.451,73.682,51,11,108.189,67.556
263,2982,239.279,73.600,18,28,126.714,67.570
264,2981,240.108,73.682,26,18,108.189,67.618
265,2982,239.522,73.783,27,18,147.171,67.366
266,2992,241.522,73.878,37,88,50.492,67.756
267,2987,239.865,73.878,30,16,140.492,67.475
268,2987,240.693,73.756,31,85,40.601,67.641
269,2977,239.037,73.756,12,63,40.601,67.608
270,2988,239.865,73.878,37,13,129.508,67.732
271,2983,238.451,73.817,40,12,125.628,67.286
272,2987,238.693,73.783,42,89,57.171,67.094
273,2986,239.279,73.736,20,75,20.647,67.758
274,2980,238.108,73.573,25,20,148.903,67.000
275,2979,239.279,73.682,15,31,172.200,67.570
276,2987,240.693,73.824,12,56,28.301,67.276
277,2991,241.279,73.756,17,70,49.399,67.700
278,2994,239.279,73.824,44,11,118.301,66.712
279,2988,239.865,73.661,13,65,41.698,67.604
280,2987,240.693,73.824,22,22,155.171,67.620
281,2982,239.279,73.783,18,74,57.171,67.294
282,2984,240.693,73.661,14,34,138.302,67.604
283,2987,239.037,73.783,18,26,122.829,66.000
284,2984,240.451,73.593,36,12,132.797,67.609
285,2987,239.279,73.817,17,72,54.372,67.452
286,2977,238.693,73.824,47,89,65.171,66.967
287,2975,239.037,73.878,36,13,129.508,67.539
288,2980,240.108,73.410,17,30,127.807,67.688
289,2984,239.522,73.824,20,76,61.699,67.294
290,2990,240.693,73.878,13,64,39.508,67.655
291,2984,239.279,73.817,27,82,35.628,67.139
292,2990,239.279,73.824,21,76,61.699,66.729
293,2982,237.865,73.790,23,79,26.565,67.136
294,2987,239.522,73.926,25,19,149.967,67.000
295,2980,240.693,73.817,40,11,125.628,67.407
296,2989,239.622,73.756,16,69,49.399,67.758
297,2985,239.279,73.736,20,76,20.647,67.619
298,2985,240.693,73.756,13,37,139.399,67.660
299,2982,239.865,73.878,14,63,39.508,67.731
300,2986,239.865,73.682,26,81,71.811,67.581
301,2981,237.865,73.824,44,11,118.301,66.509
302,2985,241.522,73.756,17,70,49.399,67.790
303,2988,238.451,73.756,13,64,40.601,67.421
304,2985,240.693,73.878,12,63,39.508,67.673
305,2979,239.865,73.878,37,87,50.492,67.568
306,2985,240.451,73.878,13,63,39.508,67.593
307,2983,239.865,73.817,17,71,54.372,67.430
308,2986,239.279,73.817,40,12,125.628,67.066
309,2976,240.108,73.682,11,50,161.811,67.491
310,2987,240.936,73.756,55,11,102.529,67.580
311,2979,239.279,73.783,12,60,32.829,66.970
312,2990,239.865,73.600,12,62,36.714,67.555
313,2980,239.037,74.027,37,13,128.418,67.495
314,2979,239.865,73.878,37,87,50.492,67.423
315,2983,240.108,73.600,18,72,53.286,67.205
316,2988,241.522,73.756,16,69,49.399,67.819
317,2993,241.279,73.756,32,85,40.601,67.748
318,2984,239.865,73.682,52,11,108.189,67.604
319,2983,239.522,73.824,21,23,118.301,67.399
320,2980,237.865,73.498,18,72,14.982,67.421
321,2983,239.865,73.661,13,66,41.698,67.609
322,2988,240.693,73.824,12,56,28.301,67.186
323,2987,239.279,73.682,26,19,108.189,67.696
324,2981,239.279,73.756,13,64,40.601,67.378
325,2986,241.522,73.824,22,77,24.829,67.509
326,2983,239.865,73.878,30,16,140.492,67.376
327,2987,239.865,73.783,12,42,147.171,67.000
328,2977,237.622,73.682,19,74,18.189,67.391
329,2984,239.037,73.817,28,17,144.372,67.139
330,2988,240.108,73.783,42,11,122.829,67.249
331,2989,239.279,73.736,11,51,159.353,67.600
332,2978,239.279,73.498,18,73,14.982,67.624
333,2982,240.108,73.682,59,11,97.800,67.437
334,2975,239.279,73.600,38,87,53.286,67.286
335,2983,239.522,73.553,15,68,7.028,67.578
336,2989,240.108,73.783,19,74,57.171,67.352
337,2983,239.865,73.878,16,70,50.492,67.655
338,2987,240.108,73.926,22,78,23.097,67.403
339,2983,240.108,73.824,44,12,118.301,67.323
340,2982,238.451,73.817,28,18,144.372,67.543
341,2986,239.865,73.661,13,64,41.698,67.624
342,2987,240.108,73.817,18,28,125.628,67.136
343,2984,240.108,73.824,11,46,151.699,67.323
344,2987,240.693,73.878,31,83,39.508,67.679
345,2988,239.037,73.763,27,82,74.268,67.633
