Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
130.500	10000.008	  0.881	409.302	  0.415	441.378	  0.185	389.441	  0.253
131.000	9999.980	  0.731	408.124	  0.940	441.647	  1.252	388.307	  0.699
131.500	10000.045	  1.827	406.928	  0.765	441.885	  0.859	387.182	  0.613
132.000	10000.053	  4.138	405.738	  0.827	442.137	  0.806	386.043	  0.688
132.500	10000.012	  1.824	404.450	  1.125	442.281	  1.348	384.832	  0.937
133.000	9999.961	  0.868	403.179	  0.966	442.468	  1.107	383.633	  0.824
133.500	10000.169	  3.054	401.821	  0.701	442.528	  0.949	382.336	  0.518
134.000	9999.957	  5.538	400.478	  0.699	442.630	  0.692	381.077	  0.561
134.500	10000.293	  7.543	399.151	  0.939	442.737	  0.994	379.815	  0.796
135.000	10002.050	 50.242	398.618	  1.431	442.688	  1.498	378.440	  1.092
135.500	10000.314	  7.774	399.423	  0.853	442.712	  1.003	379.787	  0.809
136.000	9999.959	  5.786	400.780	  0.592	442.655	  0.678	381.074	  0.562
136.500	10000.039	  3.091	402.147	  0.534	442.581	  0.898	382.370	  0.506
137.000	10000.027	  0.906	403.433	  0.874	442.413	  1.115	383.589	  0.828
137.500	10000.045	  1.838	404.780	  0.973	442.371	  1.325	384.866	  0.923
138.000	10000.188	  4.102	406.017	  0.712	442.121	  0.818	386.039	  0.675
138.500	10000.002	  1.791	407.241	  0.622	441.901	  0.836	387.199	  0.589
139.000	10000.019	  0.691	408.398	  0.743	441.581	  1.281	388.296	  0.705
139.500	10000.008	  0.838	409.602	  0.253	441.384	  0.172	389.437	  0.240
140.000	9999.991	  0.644	410.731	  0.713	441.061	  1.200	390.508	  0.676
140.500	9999.964	  0.955	411.823	  0.661	440.682	  0.849	391.543	  0.627
141.000	10000.038	  1.235	412.886	  0.673	440.302	  0.724	392.551	  0.638
141.500	9999.990	  1.551	413.916	  1.025	439.862	  1.287	393.528	  0.972
142.000	10000.014	  1.627	414.980	  1.003	439.470	  1.317	394.537	  0.951
142.500	10000.107	  1.136	415.977	  0.688	439.009	  0.840	395.482	  0.652
143.000	9999.989	  0.330	416.850	  0.429	438.419	  0.745	396.309	  0.407
143.500	9999.982	  0.799	417.802	  0.940	437.903	  1.200	397.212	  0.892
144.000	9999.945	  1.220	418.638	  0.928	437.272	  1.031	398.005	  0.879
144.500	10000.035	  2.964	419.502	  0.916	436.689	  1.074	398.823	  0.868
145.000	9999.965	  4.779	420.301	  0.688	436.009	  0.939	399.581	  0.652
145.500	10000.014	  2.715	421.113	  0.810	435.363	  1.046	400.351	  0.768
146.000	9999.988	  1.206	421.905	  0.683	434.661	  0.757	401.102	  0.647
146.500	9999.958	  2.826	422.529	  1.035	433.812	  1.272	401.694	  0.981
147.000	9999.977	  1.377	423.307	  0.807	433.157	  1.089	402.431	  0.765
147.500	9999.988	  1.508	423.953	  0.782	432.324	  0.859	403.043	  0.741
148.000	10000.147	  6.917	424.598	  0.688	431.490	  0.922	403.654	  0.652
148.500	10000.022	  0.808	425.133	  0.879	430.558	  1.028	404.162	  0.834
149.000	10000.013	  2.925	425.753	  0.797	429.712	  1.343	404.750	  0.755
149.500	9999.994	  1.004	426.278	  0.591	428.758	  0.535	405.248	  0.560
150.000	10000.007	  1.012	426.804	  0.716	427.828	  0.945	405.746	  0.679
150.500	10000.039	  1.033	427.255	  0.559	426.820	  0.708	406.174	  0.530
151.000	10000.067	  1.187	427.710	  1.010	425.788	  1.196	406.605	  0.958
151.500	9999.959	  1.845	428.055	  0.745	424.629	  0.858	406.933	  0.706
152.000	9999.910	  1.732	428.475	  0.580	423.611	  0.908	407.331	  0.550
152.500	10000.110	  2.309	428.719	  0.796	422.326	  1.229	407.562	  0.755
153.000	9999.939	  4.322	429.077	  0.728	421.269	  0.725	407.901	  0.691
153.500	10000.070	 23.701	429.324	  0.883	420.036	  0.990	408.135	  0.837
154.000	10000.213	  2.623	429.653	  0.702	418.894	  0.859	408.447	  0.666
154.500	9999.969	  1.402	429.774	  0.872	417.540	  1.044	408.562	  0.827
155.000	9999.961	  2.229	429.971	  1.187	416.283	  1.449	408.749	  1.125
155.500	9999.970	  1.132	430.146	  0.931	415.006	  0.970	408.915	  0.883
156.000	10000.003	  1.323	430.241	  0.911	413.616	  0.930	409.005	  0.864
156.500	10000.001	  0.457	430.302	  0.639	412.186	  0.879	409.063	  0.606
157.000	9999.967	  1.245	430.377	  0.545	410.845	  0.800	409.134	  0.516
157.500	10000.014	  1.042	430.412	  1.175	409.395	  1.206	409.167	  1.114
158.000	9999.968	  1.254	430.370	  0.837	407.897	  1.079	409.127	  0.794
158.500	9999.937	  1.666	430.312	  0.673	406.400	  0.777	409.072	  0.638
159.000	10000.021	  1.034	430.212	  0.419	404.822	  0.707	408.977	  0.397
159.500	10000.076	  1.579	430.059	  0.876	403.219	  1.165	408.832	  0.831
160.000	9999.991	  4.306	429.932	  0.483	401.631	  0.810	408.712	  0.458
160.500	9999.986	  0.957	429.725	  1.049	399.984	  0.912	408.516	  0.995
161.000	10000.008	  1.357	429.506	  1.020	398.310	  0.947	408.308	  0.967
161.500	10000.404	 11.032	429.285	  0.691	396.673	  0.910	408.098	  0.655
162.000	9999.995	  1.712	429.053	  0.568	394.994	  0.796	407.879	  0.538
162.500	10000.000	  0.889	428.731	  1.122	393.213	  1.075	407.573	  1.064
163.000	10000.015	  1.087	428.382	  1.230	391.424	  1.317	407.242	  1.166
163.500	10000.026	  0.549	427.989	  0.586	389.594	  0.876	406.870	  0.556
164.000	9999.976	  0.603	427.559	  0.630	387.729	  0.765	406.462	  0.597
164.500	9999.949	  0.988	427.109	  0.607	385.874	  0.770	406.035	  0.575
165.000	9999.980	  0.915	426.712	  0.862	384.049	  1.018	405.659	  0.818
165.500	9999.982	  1.558	426.168	  0.830	382.082	  1.143	405.143	  0.787
166.000	9999.780	 12.373	425.619	  0.447	380.117	  0.427	404.623	  0.424
166.500	9999.985	  0.886	425.020	  1.060	378.083	  0.959	404.055	  1.005
