Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 53.550	9008.883	  4.123	353.162	  0.531	336.474	  0.691	336.485	  0.503
 53.600	9025.751	  4.136	353.495	  0.627	336.801	  0.898	336.800	  0.595
 53.650	9042.667	  4.398	353.817	  0.646	337.113	  1.020	337.106	  0.612
 53.700	9059.186	  4.441	354.107	  0.619	337.355	  1.090	337.381	  0.587
 53.750	9076.192	  4.805	354.463	  0.599	337.729	  1.108	337.718	  0.568
 53.800	9093.149	  5.206	354.804	  0.657	338.057	  1.091	338.042	  0.623
 53.850	9110.120	  5.557	355.141	  0.662	338.383	  0.999	338.361	  0.628
 53.900	9126.719	  5.962	355.439	  0.628	338.634	  0.888	338.643	  0.595
 53.950	9143.912	  5.579	355.789	  0.524	338.975	  0.662	338.975	  0.497
 54.000	9161.126	  5.500	356.148	  0.358	339.289	  0.070	339.315	  0.339
 54.050	9177.961	  4.810	356.417	  0.424	339.567	  0.617	339.570	  0.402
 54.100	9194.752	  3.709	356.772	  0.472	339.905	  0.878	339.908	  0.447
 54.150	9211.896	  2.998	357.122	  0.621	340.255	  1.027	340.239	  0.589
 54.200	9229.004	  4.012	357.465	  0.672	340.571	  1.072	340.564	  0.637
 54.250	9245.830	  4.879	357.758	  0.726	340.863	  1.111	340.842	  0.689
 54.300	9263.008	  5.857	358.099	  0.700	341.194	  1.096	341.166	  0.663
 54.350	9279.652	  6.498	358.398	  0.699	341.419	  1.060	341.449	  0.663
 54.400	9296.722	  6.171	358.758	  0.561	341.779	  0.910	341.790	  0.532
 54.450	9314.072	  5.769	359.102	  0.347	342.121	  0.666	342.116	  0.329
 54.500	9331.118	  4.958	359.432	  0.304	342.426	  0.111	342.429	  0.288
 54.550	9348.412	  3.728	359.741	  0.477	342.710	  0.615	342.722	  0.452
 54.600	9365.682	  3.281	360.110	  0.636	343.095	  0.908	343.072	  0.603
 54.650	9382.718	  4.080	360.428	  0.679	343.401	  1.012	343.373	  0.643
 54.700	9399.885	  4.850	360.765	  0.693	343.692	  1.099	343.693	  0.657
 54.750	9416.929	  5.424	361.054	  0.646	343.965	  1.082	343.967	  0.612
 54.800	9434.014	  5.703	361.405	  0.570	344.284	  1.075	344.299	  0.540
 54.850	9451.608	  5.409	361.744	  0.593	344.623	  1.002	344.621	  0.563
 54.900	9468.932	  5.462	362.078	  0.567	344.920	  0.879	344.938	  0.537
 54.950	9485.931	  6.076	362.412	  0.551	345.245	  0.688	345.254	  0.523
 55.000	9503.438	  5.194	362.748	  0.411	345.570	  0.086	345.573	  0.390
