Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
109.500	  0.000	  0.009	 -0.020	  0.040	  7.343	  0.310	  6.937	  8.083	  0.012	  0.234	 -0.254	  0.531	  2.141	  0.257	  1.799	  2.747
110.000	 -0.000	  0.045	 -0.090	  0.100	  7.389	  0.144	  6.937	  7.790	  0.413	  0.193	 -0.254	  0.531	  2.183	  0.105	  1.799	  2.469
110.500	 -0.000	  0.016	 -0.050	  0.040	  7.424	  0.259	  7.058	  7.912	  0.811	  0.288	  0.531	  1.316	  2.215	  0.205	  1.914	  2.584
111.000	 -0.000	  0.010	 -0.020	  0.030	  7.460	  0.135	  7.119	  7.619	  1.214	  0.173	  0.924	  1.316	  2.247	  0.096	  1.972	  2.307
111.500	 -0.000	  0.016	 -0.070	  0.030	  7.479	  0.205	  7.179	  7.826	  1.594	  0.195	  1.316	  2.102	  2.265	  0.162	  2.029	  2.503
112.000	 -0.000	  0.012	 -0.030	  0.040	  7.502	  0.252	  6.887	  7.947	  1.982	  0.284	  1.316	  2.494	  2.283	  0.212	  1.751	  2.618
112.500	  0.000	  0.010	 -0.030	  0.030	  7.494	  0.333	  7.008	  8.154	  2.340	  0.294	  2.102	  2.887	  2.279	  0.277	  1.866	  2.814
113.000	  0.000	  0.012	 -0.030	  0.030	  7.497	  0.170	  7.215	  8.215	  2.701	  0.202	  2.494	  3.280	  2.281	  0.135	  2.063	  2.872
113.500	  0.000	  0.005	 -0.030	  0.010	  7.491	  0.195	  7.276	  7.983	  3.063	  0.234	  2.887	  3.673	  2.273	  0.154	  2.120	  2.652
114.000	 -0.000	  0.014	 -0.030	  0.040	  7.473	  0.246	  6.836	  7.836	  3.407	  0.225	  2.887	  3.673	  2.253	  0.207	  1.704	  2.652
114.500	  0.000	  0.011	 -0.030	  0.030	  7.450	  0.275	  6.836	  7.897	  3.742	  0.270	  2.887	  4.065	  2.230	  0.235	  1.704	  2.570
115.000	 -0.000	  0.021	 -0.040	  0.050	  7.403	  0.323	  6.958	  7.811	  4.067	  0.357	  3.673	  4.458	  2.190	  0.270	  1.819	  2.489
115.500	 -0.001	  0.014	 -0.030	  0.040	  7.357	  0.246	  7.018	  8.225	  4.392	  0.256	  4.065	  5.243	  2.145	  0.205	  1.876	  2.882
116.000	 -0.001	  0.026	 -0.080	  0.040	  7.309	  0.201	  6.933	  7.640	  4.707	  0.209	  4.458	  5.243	  2.098	  0.166	  1.795	  2.326
116.500	  0.008	  0.239	 -0.550	  0.360	  7.256	  0.251	  6.493	  7.640	  5.025	  0.253	  4.458	  5.243	  2.048	  0.213	  1.378	  2.326
117.000	 -0.002	  0.043	 -0.080	  0.100	  7.194	  0.211	  6.847	  7.554	  5.332	  0.184	  4.851	  5.636	  1.989	  0.177	  1.714	  2.245
117.500	  0.002	  0.023	 -0.060	  0.060	  7.112	  0.254	  6.614	  7.468	  5.614	  0.311	  5.243	  6.029	  1.908	  0.192	  1.493	  2.164
118.000	 -0.000	  0.018	 -0.040	  0.050	  7.035	  0.169	  6.822	  7.529	  5.906	  0.218	  5.636	  6.421	  1.833	  0.129	  1.690	  2.221
118.500	  0.000	  0.019	 -0.050	  0.060	  6.922	  0.220	  6.322	  7.382	  6.156	  0.210	  5.243	  6.421	  1.729	  0.173	  1.216	  2.082
119.000	 -0.000	  0.012	 -0.030	  0.030	  6.825	  0.282	  6.443	  7.296	  6.429	  0.300	  6.029	  6.814	  1.638	  0.235	  1.331	  2.001
119.500	  0.000	  0.010	 -0.020	  0.040	  6.739	  0.161	  6.150	  7.004	  6.708	  0.176	  6.029	  6.814	  1.551	  0.135	  1.053	  1.723
120.000	 -0.000	  0.010	 -0.030	  0.030	  6.607	  0.223	  6.064	  7.125	  6.945	  0.248	  6.421	  7.600	  1.427	  0.178	  0.972	  1.838
120.500	 -0.000	  0.010	 -0.020	  0.030	  6.479	  0.186	  5.978	  6.832	  7.185	  0.134	  6.814	  7.600	  1.306	  0.143	  0.890	  1.561
121.000	 -0.001	  0.029	 -0.040	  0.070	  6.349	  0.237	  5.978	  6.893	  7.415	  0.336	  6.814	  7.992	  1.180	  0.183	  0.890	  1.618
121.500	 -0.000	  0.009	 -0.030	  0.020	  6.212	  0.278	  5.746	  6.953	  7.650	  0.280	  7.207	  8.385	  1.049	  0.228	  0.670	  1.676
122.000	 -0.003	  0.067	 -0.100	  0.140	  6.072	  0.199	  5.660	  6.368	  7.881	  0.223	  7.600	  8.385	  0.914	  0.158	  0.589	  1.120
122.500	 -0.000	  0.015	 -0.040	  0.040	  5.912	  0.227	  5.221	  6.368	  8.085	  0.225	  7.600	  8.385	  0.765	  0.190	  0.172	  1.120
123.000	  0.001	  0.013	 -0.040	  0.040	  5.754	  0.235	  5.221	  6.282	  8.294	  0.278	  7.600	  8.778	  0.613	  0.198	  0.172	  1.039
123.500	 -0.001	  0.028	 -0.060	  0.050	  5.569	  0.315	  5.135	  6.196	  8.471	  0.337	  7.992	  9.170	  0.437	  0.261	  0.091	  0.958
124.000	 -0.000	  0.012	 -0.030	  0.040	  5.397	  0.197	  5.050	  5.696	  8.675	  0.185	  8.385	  9.170	  0.274	  0.157	  0.010	  0.484
124.500	  0.001	  0.028	 -0.070	  0.050	  5.205	  0.234	  4.757	  5.610	  8.847	  0.261	  8.385	  9.170	  0.092	  0.193	 -0.268	  0.402
125.000	  0.001	  0.047	 -0.120	  0.070	  5.009	  0.190	  4.464	  5.317	  9.014	  0.224	  8.385	  9.170	 -0.092	  0.159	 -0.546	  0.125
125.500	  0.000	  0.029	 -0.060	  0.070	  4.810	  0.250	  4.378	  5.439	  9.186	  0.267	  8.778	  9.956	 -0.279	  0.215	 -0.627	  0.240
126.000	 -0.000	  0.012	 -0.030	  0.020	  4.595	  0.246	  3.878	  4.939	  9.338	  0.239	  8.385	  9.563	 -0.484	  0.210	 -1.101	 -0.234
126.500	 -0.000	  0.008	 -0.010	  0.030	  4.350	  0.271	  3.999	  4.853	  9.455	  0.289	  9.170	  9.956	 -0.717	  0.215	 -0.986	 -0.316
127.000	 -0.000	  0.003	 -0.010	  0.010	  4.143	  0.145	  3.706	  4.560	  9.613	  0.188	  9.170	  9.956	 -0.918	  0.100	 -1.264	 -0.593
127.500	  0.000	  0.011	 -0.020	  0.040	  3.905	  0.196	  3.621	  4.267	  9.742	  0.206	  9.170	  9.956	 -1.142	  0.162	 -1.345	 -0.871
128.000	  0.000	  0.016	 -0.050	  0.030	  3.672	  0.271	  3.121	  4.181	  9.882	  0.317	  9.170	 10.348	 -1.366	  0.230	 -1.819	 -0.952
128.500	  0.000	  0.016	 -0.040	  0.050	  3.399	  0.290	  3.035	  4.095	  9.958	  0.325	  9.563	 10.741	 -1.624	  0.245	 -1.900	 -1.034
129.000	 -0.000	  0.012	 -0.030	  0.040	  3.148	  0.203	  2.949	  3.595	 10.075	  0.181	  9.956	 10.348	 -1.864	  0.161	 -1.982	 -1.508
129.500	 -0.000	  0.009	 -0.020	  0.020	  2.881	  0.198	  2.656	  3.510	 10.169	  0.213	  9.956	 10.741	 -2.116	  0.157	 -2.259	 -1.589
130.000	  0.000	  0.006	 -0.020	  0.010	  2.609	  0.235	  2.217	  2.924	 10.268	  0.311	  9.956	 10.741	 -2.373	  0.170	 -2.676	 -2.144
130.500	  0.000	  0.009	 -0.030	  0.010	  2.325	  0.104	  1.777	  2.424	 10.345	  0.046	  9.956	 10.741	 -2.640	  0.063	 -3.092	 -2.618
131.000	 -0.000	  0.007	 -0.020	  0.010	  2.031	  0.235	  1.631	  2.338	 10.412	  0.313	  9.956	 10.741	 -2.923	  0.175	 -3.231	 -2.700
131.500	  0.000	  0.018	 -0.040	  0.050	  1.732	  0.191	  1.192	  2.045	 10.471	  0.215	  9.956	 10.741	 -3.204	  0.153	 -3.648	 -2.977
132.000	  0.001	  0.041	 -0.070	  0.120	  1.434	  0.207	  1.106	  1.752	 10.534	  0.202	  9.956	 10.741	 -3.489	  0.172	 -3.729	 -3.255
132.500	  0.000	  0.018	 -0.060	  0.040	  1.112	  0.281	  0.606	  1.667	 10.570	  0.337	  9.956	 11.134	 -3.792	  0.234	 -4.203	 -3.336
133.000	 -0.000	  0.009	 -0.030	  0.020	  0.795	  0.242	  0.520	  1.581	 10.617	  0.277	 10.348	 11.527	 -4.092	  0.206	 -4.284	 -3.418
133.500	  0.002	  0.031	 -0.080	  0.070	  0.455	  0.175	  0.020	  0.934	 10.632	  0.237	  9.956	 11.134	 -4.416	  0.129	 -4.759	 -4.031
134.000	 -0.000	  0.055	 -0.120	  0.140	  0.120	  0.175	 -0.566	  0.288	 10.657	  0.173	  9.956	 10.741	 -4.731	  0.140	 -5.314	 -4.643
134.500	  0.003	  0.075	 -0.130	  0.170	 -0.212	  0.235	 -0.651	  0.409	 10.684	  0.248	 10.348	 11.527	 -5.046	  0.199	 -5.395	 -4.528
135.000	  0.020	  0.502	 -0.600	  0.820	 -0.345	  0.358	 -1.005	  0.202	 10.672	  0.375	  9.956	 11.134	 -5.390	  0.273	 -5.869	 -5.002
135.500	  0.003	  0.078	 -0.120	  0.170	 -0.144	  0.213	 -0.505	  0.409	 10.678	  0.251	 10.348	 11.527	 -5.053	  0.202	 -5.395	 -4.528
136.000	 -0.000	  0.058	 -0.120	  0.130	  0.195	  0.148	 -0.419	  0.288	 10.664	  0.170	  9.956	 10.741	 -4.732	  0.140	 -5.314	 -4.643
136.500	  0.000	  0.031	 -0.080	  0.070	  0.537	  0.133	  0.167	  0.934	 10.645	  0.224	  9.956	 11.134	 -4.408	  0.127	 -4.759	 -4.031
137.000	  0.000	  0.009	 -0.030	  0.020	  0.858	  0.218	  0.667	  1.581	 10.603	  0.279	 10.348	 11.527	 -4.103	  0.207	 -4.284	 -3.418
137.500	  0.000	  0.018	 -0.060	  0.040	  1.195	  0.243	  0.752	  1.667	 10.593	  0.331	  9.956	 11.134	 -3.783	  0.231	 -4.203	 -3.336
