Radius	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
 40.650	  0.002	  0.068	 -0.216	  0.246	  4.787	  0.217	  4.378	  5.256	 -0.004	  0.398	 -0.369	  0.861	 -0.004	  0.206	 -0.391	  0.441
 40.700	 -0.004	  0.063	 -0.192	  0.230	  4.778	  0.244	  4.479	  5.261	 -0.027	  0.414	 -0.491	  0.737	 -0.013	  0.232	 -0.297	  0.445
 40.750	 -0.002	  0.074	 -0.188	  0.176	  4.772	  0.276	  4.350	  5.226	 -0.018	  0.446	 -0.613	  0.613	 -0.019	  0.262	 -0.419	  0.412
 40.800	 -0.000	  0.084	 -0.222	  0.179	  4.799	  0.261	  4.223	  5.097	  0.014	  0.410	 -0.735	  0.490	  0.006	  0.248	 -0.541	  0.289
 40.850	 -0.001	  0.103	 -0.276	  0.201	  4.783	  0.265	  4.095	  5.197	  0.002	  0.399	 -0.857	  0.367	 -0.010	  0.251	 -0.663	  0.382
 40.900	 -0.007	  0.109	 -0.291	  0.204	  4.779	  0.248	  3.968	  5.068	 -0.016	  0.358	 -0.978	  0.244	 -0.015	  0.235	 -0.784	  0.259
 40.950	  0.008	  0.091	 -0.363	  0.206	  4.798	  0.164	  3.841	  4.940	  0.013	  0.239	 -1.099	  0.122	  0.003	  0.155	 -0.905	  0.137
 41.000	  0.001	  0.076	 -0.474	  0.151	  4.790	  0.072	  4.357	  4.812	 -0.005	  0.054	 -0.610	  0.000	 -0.006	  0.069	 -0.416	  0.015
 41.050	  0.000	  0.059	 -0.263	  0.153	  4.786	  0.165	  4.684	  5.781	 -0.015	  0.246	 -0.122	  1.096	 -0.011	  0.156	 -0.107	  0.933
 41.100	  0.002	  0.056	 -0.185	  0.135	  4.786	  0.220	  4.557	  5.652	 -0.019	  0.333	 -0.243	  0.973	 -0.012	  0.209	 -0.228	  0.810
 41.150	 -0.002	  0.054	 -0.127	  0.155	  4.782	  0.234	  4.430	  5.524	 -0.014	  0.367	 -0.365	  0.851	 -0.016	  0.222	 -0.350	  0.687
 41.200	  0.001	  0.070	 -0.162	  0.288	  4.803	  0.278	  4.303	  5.396	  0.015	  0.423	 -0.485	  0.728	  0.003	  0.264	 -0.471	  0.565
 41.250	 -0.001	  0.084	 -0.180	  0.437	  4.797	  0.268	  4.403	  5.268	  0.001	  0.416	 -0.606	  0.606	 -0.004	  0.255	 -0.377	  0.443
 41.300	 -0.001	  0.099	 -0.197	  0.325	  4.790	  0.253	  4.370	  5.141	 -0.001	  0.418	 -0.726	  0.484	 -0.011	  0.240	 -0.409	  0.322
 41.350	 -0.000	  0.100	 -0.290	  0.287	  4.795	  0.220	  4.376	  5.014	 -0.008	  0.397	 -0.846	  0.363	 -0.007	  0.208	 -0.404	  0.200
 41.400	  0.004	  0.094	 -0.270	  0.212	  4.806	  0.199	  4.250	  5.112	  0.007	  0.341	 -0.966	  0.242	  0.002	  0.189	 -0.524	  0.293
 41.450	  0.001	  0.087	 -0.233	  0.212	  4.805	  0.196	  4.124	  5.210	  0.002	  0.260	 -1.086	  0.121	  0.001	  0.185	 -0.644	  0.385
 41.500	  0.001	  0.077	 -0.233	  0.155	  4.796	  0.154	  4.316	  5.083	 -0.004	  0.047	 -0.602	  0.000	 -0.009	  0.146	 -0.463	  0.264
 41.550	 -0.004	  0.073	 -0.215	  0.172	  4.802	  0.215	  4.508	  5.274	  0.002	  0.251	 -0.120	  1.083	 -0.003	  0.204	 -0.282	  0.444
 41.600	 -0.003	  0.062	 -0.160	  0.152	  4.796	  0.230	  4.383	  5.241	 -0.011	  0.343	 -0.240	  0.962	 -0.010	  0.218	 -0.402	  0.412
 41.650	 -0.001	  0.066	 -0.161	  0.187	  4.798	  0.248	  4.257	  5.338	  0.001	  0.399	 -0.360	  0.840	 -0.009	  0.235	 -0.521	  0.503
 41.700	 -0.001	  0.075	 -0.181	  0.185	  4.792	  0.240	  4.132	  5.212	 -0.021	  0.413	 -0.480	  0.719	 -0.015	  0.227	 -0.641	  0.383
 41.750	 -0.003	  0.078	 -0.201	  0.219	  4.820	  0.247	  4.454	  5.532	  0.012	  0.438	 -0.599	  0.599	  0.011	  0.234	 -0.336	  0.686
 41.800	  0.000	  0.082	 -0.184	  0.180	  4.804	  0.252	  4.329	  5.406	  0.004	  0.409	 -0.718	  0.478	 -0.005	  0.239	 -0.455	  0.566
 41.850	  0.002	  0.088	 -0.223	  0.268	  4.810	  0.256	  4.427	  5.280	  0.011	  0.371	 -0.836	  0.358	  0.000	  0.242	 -0.363	  0.445
 41.900	 -0.006	  0.091	 -0.207	  0.373	  4.794	  0.236	  4.395	  5.155	 -0.014	  0.347	 -0.955	  0.239	 -0.016	  0.224	 -0.395	  0.326
 41.950	 -0.001	  0.100	 -0.282	  0.279	  4.799	  0.207	  4.270	  5.029	 -0.008	  0.260	 -1.073	  0.119	 -0.012	  0.196	 -0.513	  0.206
 42.000	  0.003	  0.090	 -0.285	  0.239	  4.810	  0.128	  4.146	  4.904	 -0.001	  0.027	 -0.595	  0.000	 -0.002	  0.121	 -0.632	  0.087
 42.050	  0.001	  0.067	 -0.180	  0.199	  4.807	  0.146	  4.558	  5.407	 -0.010	  0.238	 -0.119	  1.070	 -0.006	  0.139	 -0.242	  0.562
 42.100	 -0.000	  0.046	 -0.111	  0.158	  4.818	  0.196	  4.655	  5.411	  0.010	  0.340	 -0.238	  0.950	  0.004	  0.186	 -0.151	  0.566
 42.150	  0.002	  0.056	 -0.151	  0.207	  4.823	  0.249	  4.531	  5.286	  0.020	  0.394	 -0.356	  0.830	  0.007	  0.236	 -0.269	  0.447
 42.200	  0.001	  0.069	 -0.155	  0.256	  4.809	  0.263	  4.407	  5.253	 -0.009	  0.409	 -0.474	  0.711	 -0.006	  0.249	 -0.388	  0.414
 42.250	 -0.001	  0.076	 -0.284	  0.251	  4.822	  0.264	  4.283	  5.128	  0.004	  0.411	 -0.592	  0.592	  0.005	  0.250	 -0.505	  0.295
 42.300	 -0.003	  0.090	 -0.306	  0.210	  4.808	  0.270	  4.160	  5.224	 -0.004	  0.417	 -0.709	  0.473	 -0.009	  0.256	 -0.623	  0.386
 42.350	  0.003	  0.094	 -0.275	  0.168	  4.827	  0.240	  4.037	  5.100	  0.012	  0.381	 -0.826	  0.354	  0.009	  0.227	 -0.740	  0.267
 42.400	 -0.001	  0.099	 -0.263	  0.233	  4.812	  0.204	  3.915	  4.976	 -0.005	  0.337	 -0.943	  0.236	 -0.007	  0.193	 -0.857	  0.149
 42.450	  0.003	  0.089	 -0.197	  0.174	  4.816	  0.152	  4.231	  5.292	  0.001	  0.259	 -1.060	  0.118	 -0.003	  0.144	 -0.558	  0.448
 42.500	  0.002	  0.069	 -0.185	  0.167	  4.816	  0.125	  4.419	  5.168	 -0.003	  0.042	 -0.588	  0.000	 -0.004	  0.119	 -0.381	  0.329
 42.550	  0.000	  0.054	 -0.138	  0.213	  4.812	  0.191	  4.606	  5.664	 -0.006	  0.244	 -0.118	  1.058	 -0.009	  0.182	 -0.204	  0.799
 42.600	  0.002	  0.053	 -0.144	  0.224	  4.813	  0.220	  4.483	  5.540	 -0.005	  0.324	 -0.235	  0.939	 -0.008	  0.209	 -0.321	  0.681
 42.650	  0.001	  0.067	 -0.168	  0.164	  4.816	  0.240	  4.361	  5.416	 -0.010	  0.370	 -0.352	  0.821	 -0.007	  0.227	 -0.438	  0.563
 42.700	  0.003	  0.076	 -0.210	  0.191	  4.829	  0.249	  4.457	  5.293	  0.006	  0.403	 -0.468	  0.703	  0.005	  0.236	 -0.348	  0.445
 42.750	 -0.003	  0.074	 -0.182	  0.253	  4.816	  0.227	  4.335	  5.170	 -0.015	  0.400	 -0.585	  0.585	 -0.008	  0.215	 -0.464	  0.327
 42.800	 -0.004	  0.081	 -0.172	  0.245	  4.808	  0.226	  4.431	  5.265	 -0.020	  0.411	 -0.701	  0.467	 -0.016	  0.215	 -0.374	  0.417
 42.850	  0.002	  0.084	 -0.197	  0.271	  4.824	  0.229	  4.309	  5.142	 -0.012	  0.367	 -0.817	  0.350	 -0.001	  0.217	 -0.490	  0.300
 42.900	  0.000	  0.086	 -0.360	  0.228	  4.830	  0.225	  4.187	  5.237	  0.002	  0.327	 -0.932	  0.233	  0.003	  0.213	 -0.606	  0.389
 42.950	  0.000	  0.089	 -0.402	  0.167	  4.821	  0.205	  4.066	  5.114	 -0.001	  0.248	 -1.048	  0.116	 -0.006	  0.194	 -0.722	  0.272
 43.000	 -0.006	  0.079	 -0.255	  0.141	  4.817	  0.149	  4.558	  4.992	 -0.003	  0.045	 -0.581	  0.000	 -0.010	  0.141	 -0.256	  0.155
 43.050	 -0.001	  0.069	 -0.177	  0.132	  4.821	  0.187	  4.437	  5.176	 -0.005	  0.240	 -0.116	  1.045	 -0.008	  0.177	 -0.372	  0.329
 43.100	 -0.001	  0.068	 -0.203	  0.157	  4.828	  0.192	  4.316	  5.360	  0.001	  0.324	 -0.232	  0.928	 -0.001	  0.182	 -0.487	  0.503
 43.150	 -0.002	  0.058	 -0.229	  0.181	  4.824	  0.207	  4.627	  5.454	 -0.009	  0.376	 -0.348	  0.811	 -0.006	  0.196	 -0.193	  0.591
 43.200	  0.000	  0.054	 -0.136	  0.171	  4.837	  0.246	  4.506	  5.548	  0.012	  0.413	 -0.463	  0.694	  0.005	  0.233	 -0.308	  0.679
 43.250	 -0.002	  0.074	 -0.213	  0.178	  4.823	  0.255	  4.385	  5.426	 -0.008	  0.414	 -0.578	  0.578	 -0.008	  0.242	 -0.424	  0.563
 43.300	 -0.002	  0.086	 -0.172	  0.184	  4.825	  0.254	  4.480	  5.304	  0.003	  0.395	 -0.693	  0.462	 -0.007	  0.241	 -0.335	  0.447
 43.350	  0.005	  0.093	 -0.182	  0.207	  4.839	  0.248	  4.448	  5.183	  0.023	  0.379	 -0.807	  0.346	  0.005	  0.236	 -0.365	  0.331
 43.400	  0.008	  0.094	 -0.209	  0.213	  4.849	  0.212	  4.328	  5.061	  0.021	  0.313	 -0.922	  0.230	  0.014	  0.201	 -0.480	  0.216
 43.450	 -0.001	  0.090	 -0.253	  0.354	  4.823	  0.165	  4.208	  4.941	 -0.007	  0.245	 -1.036	  0.115	 -0.011	  0.157	 -0.594	  0.100
 43.500	  0.001	  0.074	 -0.247	  0.207	  4.828	  0.053	  4.517	  5.249	 -0.004	  0.048	 -0.575	  0.000	 -0.008	  0.050	 -0.302	  0.392
 43.550	 -0.002	  0.058	 -0.174	  0.179	  4.832	  0.166	  4.700	  5.431	 -0.005	  0.233	 -0.115	  1.033	 -0.005	  0.157	 -0.130	  0.563
 43.600	  0.002	  0.052	 -0.135	  0.133	  4.838	  0.226	  4.580	  5.310	  0.003	  0.324	 -0.229	  0.917	  0.001	  0.214	 -0.244	  0.448
 43.650	 -0.000	  0.055	 -0.146	  0.205	  4.831	  0.251	  4.460	  5.189	 -0.005	  0.374	 -0.344	  0.802	 -0.006	  0.238	 -0.358	  0.333
 43.700	  0.001	  0.068	 -0.208	  0.209	  4.834	  0.253	  4.340	  5.157	 -0.002	  0.398	 -0.458	  0.686	 -0.004	  0.240	 -0.472	  0.302
 43.750	 -0.000	  0.083	 -0.220	  0.196	  4.837	  0.251	  4.221	  5.250	 -0.003	  0.404	 -0.571	  0.571	 -0.002	  0.238	 -0.586	  0.389
 43.800	  0.002	  0.092	 -0.364	  0.167	  4.838	  0.229	  4.102	  5.130	  0.003	  0.390	 -0.685	  0.457	 -0.002	  0.217	 -0.700	  0.275
 43.850	  0.000	  0.082	 -0.293	  0.154	  4.840	  0.201	  4.409	  5.223	  0.001	  0.371	 -0.798	  0.342	 -0.001	  0.191	 -0.410	  0.362
 43.900	 -0.006	  0.085	 -0.256	  0.157	  4.828	  0.204	  4.290	  5.315	 -0.023	  0.338	 -0.911	  0.228	 -0.012	  0.193	 -0.523	  0.449
 43.950	 -0.001	  0.080	 -0.186	  0.176	  4.838	  0.193	  4.471	  5.195	 -0.008	  0.246	 -1.024	  0.114	 -0.004	  0.183	 -0.352	  0.335
 44.000	 -0.000	  0.076	 -0.216	  0.162	  4.841	  0.149	  4.352	  5.076	 -0.001	  0.025	 -0.568	  0.000	 -0.002	  0.141	 -0.465	  0.221
 44.050	 -0.000	  0.064	 -0.147	  0.148	  4.842	  0.202	  4.533	  5.555	  0.005	  0.249	 -0.114	  1.022	 -0.001	  0.191	 -0.294	  0.674
 44.100	  0.001	  0.060	 -0.160	  0.183	  4.846	  0.207	  4.415	  5.435	 -0.003	  0.311	 -0.227	  0.907	  0.001	  0.196	 -0.407	  0.560
 44.150	  0.001	  0.059	 -0.141	  0.234	  4.851	  0.216	  4.508	  5.316	  0.015	  0.366	 -0.340	  0.793	  0.006	  0.205	 -0.320	  0.446
 44.200	  0.002	  0.066	 -0.172	  0.138	  4.844	  0.209	  4.600	  5.197	  0.002	  0.393	 -0.452	  0.679	 -0.002	  0.198	 -0.233	  0.333
 44.250	 -0.002	  0.071	 -0.170	  0.172	  4.836	  0.238	  4.482	  5.289	 -0.006	  0.405	 -0.565	  0.565	 -0.010	  0.226	 -0.346	  0.419
