 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
300,3409,270.007,77.801,13,65,37.164,73.460
301,3412,268.836,78.000,10,55,22.620,73.997
302,3404,270.250,78.006,24,19,143.865,73.676
303,3411,269.421,77.897,28,83,41.878,74.379
304,3409,273.078,77.987,27,83,40.840,74.283
305,3411,270.250,77.833,29,16,137.083,74.105
306,3412,269.664,77.827,11,59,27.553,74.246
307,3410,271.078,77.698,22,21,148.151,73.855
308,3403,271.321,78.006,19,76,53.865,74.000
309,3405,270.492,77.878,43,10,114.261,73.960
310,3411,270.492,77.820,42,11,115.907,74.304
311,3414,271.664,77.936,36,88,56.514,73.425
312,3408,271.078,77.698,11,39,148.151,74.160
313,3409,268.593,77.936,12,64,33.486,73.498
314,3412,271.078,77.833,31,14,132.917,74.246
315,3411,273.321,77.936,37,12,123.486,74.000
316,3411,271.078,77.795,27,16,107.969,74.000
317,3407,270.492,77.801,35,87,52.836,74.000
318,3410,272.492,77.833,47,90,69.702,74.318
319,3403,272.735,77.936,12,63,33.486,74.330
320,3407,271.664,77.897,13,32,138.122,74.297
321,3400,270.836,77.897,40,11,119.197,74.204
322,3409,271.907,77.897,22,79,60.803,74.473
323,3404,271.907,77.666,10,52,168.111,74.194
324,3406,272.492,77.698,12,62,31.849,74.328
325,3412,271.907,78.032,22,21,120.838,74.214
326,3411,271.078,77.827,23,20,117.553,74.246
327,3403,272.492,77.897,14,32,138.122,74.370
328,3401,272.492,77.878,25,18,114.261,74.059
329,3408,270.836,77.936,12,37,146.514,73.722
330,3408,273.321,77.885,15,70,15.642,74.330
331,3404,271.664,77.987,28,84,40.840,74.528
332,3406,270.250,77.801,12,64,37.164,73.676
333,3412,273.907,77.833,31,14,132.917,74.446
334,3400,271.321,77.820,42,89,64.093,73.923
335,3412,270.836,77.801,20,76,52.836,73.659
336,3401,272.007,77.833,17,72,47.083,74.380
337,3410,272.250,77.987,32,86,49.160,74.012
338,3404,270.836,77.878,19,26,155.739,74.100
339,3404,272.250,78.102,33,14,129.806,74.330
340,3414,273.321,77.897,17,73,48.122,74.425
341,3410,271.907,77.698,12,62,31.849,74.108
342,3406,271.907,77.987,15,69,40.840,74.027
343,3405,271.664,77.936,23,80,33.486,74.297
344,3403,271.321,77.795,10,48,162.031,74.000
345,3410,273.321,77.936,23,19,146.514,74.364
346,3407,270.836,78.000,26,82,67.380,74.138
347,3398,270.836,77.897,27,17,138.122,74.307
348,3402,271.907,78.032,39,11,120.838,74.476
349,3404,270.836,77.897,32,86,48.122,73.960
350,3402,270.836,77.698,20,23,121.849,73.498
351,3407,271.664,77.897,28,17,138.122,74.412
352,3407,271.907,77.827,20,77,27.553,74.246
353,3411,271.907,77.936,23,20,146.514,74.385
354,3405,272.250,78.102,33,14,129.806,74.297
355,3410,272.250,77.987,17,73,49.160,74.012
356,3401,271.078,77.833,47,90,69.702,74.257
357,3408,269.078,77.833,46,10,110.298,73.668
358,3407,271.421,77.936,19,23,123.486,74.330
359,3409,271.664,77.698,21,77,58.151,73.425
360,3412,272.250,77.833,31,14,132.917,74.290
361,3406,268.836,78.000,18,25,157.380,73.514
362,3410,272.492,77.878,25,19,114.261,73.960
363,3411,270.836,77.936,37,88,56.514,73.703
364,3401,271.321,77.827,11,41,152.447,74.246
365,3403,272.250,77.987,32,86,49.160,74.407
366,3410,271.907,77.936,37,88,56.514,73.713
367,3403,273.321,77.897,21,22,150.803,74.512
368,3408,271.664,77.987,27,18,139.160,74.160
369,3405,272.250,77.801,19,75,52.836,73.627
370,3398,272.492,77.524,39,88,59.797,74.121
371,3402,271.078,77.878,11,43,155.739,74.364
372,3405,271.907,77.936,37,88,56.514,74.330
373,3405,271.664,77.698,12,38,148.151,73.921
374,3408,272.735,77.820,10,58,25.907,74.473
375,3408,270.836,77.897,28,83,41.878,74.012
376,3412,271.664,77.936,20,23,123.486,73.676
377,3412,271.664,77.666,23,80,34.509,74.059
378,3411,271.907,77.698,38,11,121.849,74.330
379,3400,271.907,77.827,20,23,152.447,74.246
380,3406,271.078,78.006,35,87,53.865,73.676
381,3411,271.078,77.698,12,38,148.151,74.059
382,3404,271.907,77.698,23,20,148.151,74.364
383,3403,272.007,77.897,21,22,150.803,74.380
384,3400,270.250,77.897,23,21,119.197,74.028
385,3401,271.907,77.833,10,46,159.702,74.351
386,3407,271.664,78.102,14,67,39.806,74.297
387,3408,270.492,77.698,21,22,121.849,74.059
388,3408,271.664,77.897,20,77,29.197,74.494
389,3407,271.078,77.698,21,22,121.849,73.855
390,3411,272.149,77.666,13,35,145.491,73.703
391,3409,272.735,77.698,39,12,121.849,74.640
392,3409,273.321,77.878,43,90,65.739,74.541
393,3409,270.250,77.897,23,79,60.803,74.379
394,3407,273.907,77.897,14,32,138.122,74.304
395,3401,271.078,77.833,46,90,69.702,73.637
396,3413,272.492,77.987,14,68,40.840,74.182
397,3406,271.664,77.878,24,19,114.261,74.182
398,3407,271.078,77.936,37,12,123.486,74.385
399,3404,271.907,78.032,38,89,59.162,74.027
400,3413,272.492,77.987,27,18,139.160,74.214
401,3413,271.078,77.698,21,22,121.849,74.059
402,3408,272.250,77.987,17,27,130.840,74.407
403,3411,270.492,77.698,12,38,148.151,74.108
404,3404,273.664,77.524,22,21,120.203,74.473
405,3407,271.321,78.006,12,36,143.865,74.000
406,3402,269.421,77.698,11,38,148.151,73.498
407,3411,271.664,77.833,31,14,132.917,74.204
408,3409,271.907,77.827,41,89,62.447,74.512
409,3409,272.250,78.006,19,76,53.865,74.000
410,3411,271.321,77.801,18,75,52.836,74.207
411,3415,272.492,77.801,35,87,52.836,74.266
412,3400,272.250,77.987,17,27,130.840,73.960
413,3403,270.007,77.987,32,14,130.840,73.960
414,3408,272.735,77.666,19,77,55.491,74.364
415,3405,270.250,77.833,16,29,132.917,74.366
416,3407,271.321,77.621,15,70,14.931,74.182
417,3402,270.250,77.833,17,73,20.298,73.652
418,3406,273.321,77.698,12,62,31.849,74.438
419,3410,270.836,78.006,36,12,126.135,74.000
420,3408,272.492,78.102,33,13,129.806,74.330
421,3402,271.078,77.885,49,10,105.642,74.207
422,3408,273.078,77.621,13,66,38.199,74.077
423,3407,270.250,77.795,10,47,162.031,74.000
424,3414,270.250,77.897,14,69,41.878,74.304
425,3405,269.664,77.698,23,20,148.151,73.498
426,3406,271.321,77.698,37,88,58.151,73.713
427,3406,270.836,78.102,32,86,50.194,73.460
428,3415,271.664,77.801,19,75,52.836,73.694
429,3411,272.250,77.936,23,20,146.514,73.722
430,3404,271.078,77.698,22,21,148.151,73.537
431,3409,271.321,77.621,10,50,165.069,74.182
432,3410,272.492,77.801,34,14,127.164,74.000
433,3402,271.078,77.647,35,87,82.600,73.989
434,3407,271.664,77.897,28,16,138.122,74.028
435,3412,271.664,77.833,26,83,69.702,73.703
436,3407,271.078,77.666,20,24,124.509,73.627
437,3413,271.664,77.936,23,20,146.514,73.967
438,3404,270.250,77.621,18,26,158.062,73.460
439,3406,270.250,77.987,27,17,139.160,74.108
440,3407,272.735,77.897,21,22,150.803,74.061
441,3408,273.321,77.987,14,68,40.840,74.481
442,3412,272.836,77.897,21,79,29.197,74.028
443,3406,272.492,77.897,11,40,150.803,73.837
444,3406,272.492,77.936,23,80,33.486,74.330
445,3403,270.250,77.698,38,89,58.151,74.108
446,3411,272.250,78.102,27,83,39.806,73.967
447,3412,271.907,77.897,11,39,150.803,74.512
448,3403,272.492,77.698,22,79,31.849,74.429
449,3414,271.907,77.897,21,78,29.197,74.590
450,3400,270.836,77.897,17,73,48.122,74.304
451,3407,273.907,77.897,18,73,48.122,74.366
452,3403,269.664,77.698,23,20,148.151,74.108
453,3412,271.664,78.000,45,10,112.620,74.138
454,3406,271.078,77.833,10,47,159.702,74.229
455,3408,272.250,77.987,14,32,139.160,74.283
456,3405,271.078,77.795,28,16,107.969,73.676
457,3405,271.078,77.878,10,56,24.261,74.160
458,3409,270.836,78.006,24,19,143.865,73.685
459,3403,272.250,77.897,22,21,119.197,74.012
460,3406,270.250,77.801,34,13,127.164,73.676
461,3405,271.078,77.698,38,88,58.151,74.128
462,3411,272.492,77.987,14,32,139.160,74.108
463,3406,272.492,77.987,33,13,130.840,74.583
464,3405,272.492,77.878,25,18,114.261,74.476
465,3403,271.078,77.820,24,81,64.093,74.366
466,3402,270.492,77.827,41,11,117.553,74.246
467,3410,273.078,77.987,32,14,130.840,74.283
468,3408,272.007,77.897,13,32,138.122,74.100
469,3411,271.421,77.897,17,72,48.122,74.199
470,3411,273.078,77.987,14,68,40.840,74.214
471,3407,272.735,77.878,43,10,114.261,74.182
472,3414,273.664,77.897,27,17,138.122,74.366
473,3415,273.321,77.897,20,22,150.803,74.446
474,3413,272.735,77.801,25,19,142.836,74.000
475,3406,271.664,77.936,37,88,56.514,73.713
476,3403,271.907,77.833,31,14,132.917,74.246
477,3406,274.735,77.833,15,70,42.917,74.479
478,3401,271.907,77.878,44,10,114.261,74.283
479,3404,270.250,78.006,24,81,36.135,73.676
480,3412,272.492,77.878,44,10,114.261,74.160
481,3408,271.078,77.987,27,82,40.840,74.160
482,3403,269.664,77.698,37,88,58.151,74.059
483,3400,271.078,77.827,41,89,62.447,74.199
484,3406,271.907,77.833,10,46,159.702,74.351
485,3409,271.664,77.698,20,23,121.849,74.128
486,3411,273.907,78.102,27,83,39.806,74.401
487,3398,271.664,77.666,19,76,55.491,74.000
488,3415,272.492,77.897,11,40,150.803,74.380
489,3407,271.321,77.698,39,88,58.151,74.012
490,3407,271.907,77.885,15,30,164.358,74.351
491,3408,271.421,78.102,14,68,39.806,74.012
492,3404,271.664,77.698,12,38,148.151,74.182
493,3403,271.664,77.801,19,25,127.164,73.627
494,3401,270.836,78.102,26,18,140.194,73.967
495,3405,272.492,77.698,22,78,31.849,74.059
496,3409,269.078,77.666,12,36,145.491,73.659
497,3406,271.907,77.666,10,48,11.889,74.366
498,3411,272.735,77.878,51,90,77.391,74.528
499,3407,272.735,77.698,38,12,121.849,74.330
500,3408,272.735,77.897,21,22,150.803,74.411
501,3407,270.250,77.987,17,73,49.160,74.108
502,3411,272.250,78.006,18,75,53.865,74.000
503,3408,270.492,77.795,10,52,17.969,73.676
504,3409,272.492,78.102,14,33,140.194,74.351
505,3408,271.907,78.006,36,87,53.865,74.000
506,3409,273.321,78.006,12,65,36.135,74.000
507,3410,272.492,77.897,21,22,150.803,74.366
508,3400,270.492,77.795,29,16,107.969,74.000
509,3402,272.492,77.666,12,37,145.491,73.733
510,3407,274.735,77.782,10,55,171.870,74.437
511,3404,272.492,77.885,49,10,105.642,74.318
512,3406,271.078,77.936,12,63,33.486,74.364
513,3404,271.078,77.698,38,89,58.151,73.924
514,3402,270.250,77.833,46,90,69.702,73.685
515,3411,271.321,77.820,11,58,25.907,74.412
516,3405,271.664,77.827,42,90,62.447,74.540
517,3401,271.421,77.833,31,14,132.917,74.246
518,3405,271.907,77.621,26,18,111.938,73.724
519,3408,269.421,77.833,10,45,159.702,73.722
520,3407,268.836,77.666,24,20,145.491,73.000
521,3410,272.492,77.936,20,77,56.514,74.330
522,3395,271.078,77.698,20,23,121.849,74.319
523,3397,270.836,77.936,37,12,123.486,74.108
524,3406,273.078,77.897,32,14,131.878,74.283
525,3406,271.907,77.801,35,88,52.836,74.297
526,3406,271.321,77.897,39,11,119.197,74.401
527,3404,273.078,77.897,32,86,48.122,74.377
528,3407,271.664,77.801,25,18,142.836,74.000
529,3408,272.250,77.801,14,34,142.836,73.642
530,3404,271.907,77.936,23,80,33.486,74.297
531,3405,274.735,77.698,12,62,31.849,74.077
532,3401,270.007,78.102,32,14,129.806,74.012
533,3407,271.321,77.801,13,66,37.164,74.266
534,3407,270.250,77.698,23,79,31.849,74.059
535,3407,270.492,77.878,51,90,77.391,74.243
536,3397,271.078,77.801,19,24,127.164,74.000
537,3412,273.321,77.987,14,68,40.840,74.307
538,3409,269.664,77.698,23,80,31.849,74.108
539,3413,269.664,77.833,10,54,20.298,73.685
540,3404,272.250,77.987,14,32,139.160,74.283
541,3405,271.664,77.897,31,14,131.878,74.412
542,3406,271.078,77.936,12,37,146.514,73.703
543,3407,273.078,77.833,26,17,110.298,74.000
544,3403,271.078,77.827,20,77,27.553,74.173
545,3404,271.907,77.878,44,90,65.739,74.160
546,3404,272.250,77.833,31,14,132.917,74.290
547,3407,271.078,77.878,43,90,65.739,74.412
548,3403,273.321,77.698,38,12,121.849,74.342
549,3406,273.078,77.987,26,18,139.160,74.108
550,3411,273.563,77.936,24,81,33.486,74.594
551,3409,272.492,77.897,28,84,41.878,74.421
552,3403,271.907,77.897,27,17,138.122,73.989
553,3408,272.735,77.801,18,25,127.164,74.000
554,3404,271.907,77.801,25,19,142.836,74.266
555,3398,273.321,77.833,11,55,20.298,74.486
